"","x"
"660",20583.519531
"661",21259.039063
"662",22131.310547
"663",21562.5
"664",21504.369141
"665",21561.900391
"666",21455.230469
"667",21966.660156
"668",21854.630859
"669",21920.830078
"670",21756.929688
"671",21796.580078
"672",21302.910156
"673",21095.980469
"674",21186.320313
"675",20556.599609
"676",20846.300781
"677",21506.089844
"678",21854.5
"679",21831.619141
"680",22515.759766
"681",22354.910156
"682",22458.800781
"683",22730.929688
"684",22600.460938
"685",22439.910156
"686",22888.169922
"687",23067.369141
"688",23075.609375
"689",22989.220703
"690",22845.369141
"691",23151.939453
"692",23116.25
"693",23142.730469
"694",22956.570313
"695",22819.939453
"696",22640.039063
"697",22370.039063
"698",22568.429688
"699",23053.570313
"700",23051.039063
"701",22867.330078
"702",22726.769531
"703",22401.699219
"704",22352.169922
"705",22888.919922
"706",22396.140625
"707",22010.820313
"708",22264.25
"709",22188.259766
"710",22500.220703
"711",22754.720703
"712",22665.900391
"713",22587.630859
"714",22498
"715",22488.939453
"716",22068.320313
"717",21996.419922
"718",22381.349609
"719",22479.689453
"720",22417.009766
"721",22235.890625
"722",22203.220703
"723",21905.130859
"724",21803.759766
"725",21704.609375
"726",21464.050781
"727",21309.849609
"728",21274.369141
"729",21701.210938
"730",21872.060547
"731",21755.560547
"732",21791.679688
"733",21830.019531
"734",22040.589844
"735",22138.130859
"736",21919.619141
"737",21999.619141
"738",21882.150391
"739",21914.400391
"740",21327.119141
"741",21188.720703
"742",20980.810547
"743",20333.339844
"744",20453.710938
"745",19888.5
"746",19711.759766
"747",19934.880859
"748",19817.410156
"749",19520.769531
"750",19237.449219
"751",19635.810547
"752",18886.300781
"753",18542.150391
"754",19080.509766
"755",19340.140625
"756",18860.800781
"757",19052.449219
"758",19195.830078
"759",19683.109375
"760",19595.5
"761",19446.839844
"762",18991.589844
"763",19183.089844
"764",19288.169922
"765",18545.800781
"766",18319.580078
"767",18918.140625
"768",19122.080078
"769",18924.570313
"770",19363.080078
"771",19285.5
"772",19464.089844
"773",19414.779297
"774",19192.449219
"775",18888.75
"776",19364.150391
"777",19111.929688
"778",19407.460938
"779",20003.490234
"780",19941.759766
"781",20176.699219
"782",20159.720703
"783",20011.580078
"784",19996.259766
"785",19984.419922
"786",20199.599609
"787",20435.339844
"788",20288.769531
"789",20257.699219
"790",20503.810547
"791",20671.630859
"792",20684.150391
"793",20666.75
"794",20615.230469
"795",20345.609375
"796",20366.300781
"797",20803.390625
"798",20776.699219
"799",20498.919922
"800",20177
"801",20206.669922
"802",20266.050781
"803",20370.400391
"804",20440.810547
"805",20504.439453
"806",21158.710938
"807",21337.810547
"808",21316.470703
"809",21161.5
"810",21436.210938
"811",21236.310547
"812",21622.25
"813",21467.039063
"814",21304.439453
"815",21407.269531
"816",21361.599609
"817",21388.029297
"818",21067.050781
"819",20676.939453
"820",20525.830078
"821",20449.820313
"822",20109.869141
"823",20156.810547
"824",20242.679688
"825",20055.289063
"826",19915.460938
"827",19719.289063
"828",19883.949219
"829",20118.800781
"830",19826.410156
"831",19694.330078
"832",19852.199219
"833",19809.029297
"834",19830.429688
"835",20368.050781
"836",20397.109375
"837",20576.769531
"838",20629.390625
"839",20815.089844
"840",20760.980469
"841",20859.220703
"842",20947.240234
"843",21030.220703
"844",21328.240234
"845",21297.880859
"846",21042.640625
"847",20512.990234
"848",20387.529297
"849",20467.519531
"850",20038.419922
"851",20169.980469
"852",20510.199219
"853",20668.439453
"854",20795.119141
"855",20868.339844
"856",20259.130859
"857",20227.300781
"858",20172.460938
"859",20436.119141
"860",20794.369141
"861",21059.199219
"862",20750.720703
"863",20495.289063
"864",20706.919922
"865",20564.169922
"866",20880.5
"867",21224.740234
"868",21322.369141
"869",21561.060547
"870",21659.25
"871",21803.179688
"872",21673.199219
"873",21882.480469
"874",22000.490234
"875",21964.269531
"876",21993.439453
"877",22129.730469
"878",22218.990234
"879",22174.339844
"880",21891.369141
"881",22129.140625
"882",NA
"883",21739.119141
"884",21832.230469
"885",22146.089844
"886",22494.759766
"887",22465.609375
"888",22492.429688
"889",22580.550781
"890",22766.910156
"891",22932.509766
"892",22910.839844
"893",22799.779297
"894",23023.160156
"895",22937.220703
"896",22997.910156
"897",22998.929688
"898",22820.779297
"899",22814.949219
"900",22909.539063
"901",22821.339844
"902",23016.109375
"903",22976.880859
"904",23162.339844
"905",23266.699219
"906",23649.550781
"907",23787.679688
"908",23741.810547
"909",23919.339844
"910",24099.699219
"911",23290.599609
"912",23215.759766
"913",23190.640625
"914",23335.589844
"915",23550.449219
"916",23530.859375
"917",23669.900391
"918",23759.800781
"919",23686.480469
"920",23317.919922
"921",23571.900391
"922",23619.650391
"923",23739.470703
"924",23297.150391
"925",23584.429688
"926",23689.439453
"927",23788.310547
"928",23952.5
"929",23851.820313
"930",23549.519531
"931",23407.050781
"932",23031.300781
"933",23233.310547
"934",23037.539063
"935",23394.390625
"936",23304.970703
"937",23374.400391
"938",NA
"939",23604.080078
"940",23565.109375
"941",23325.429688
"942",23132.349609
"943",22954.810547
"944",22934.539063
"945",23147.070313
"946",22810.5
"947",22683.509766
"948",22642.619141
"949",22801.400391
"950",22909.470703
"951",22415.189453
"952",22839.109375
"953",22531.089844
"954",22222.220703
"955",22323.910156
"956",22280.529297
"957",22262.880859
"958",22344.210938
"959",22357.779297
"960",22678.070313
"961",22676.689453
"962",22608.490234
"963",22723.449219
"964",22830.570313
"965",22737.070313
"966",22789.769531
"967",22878.230469
"968",22564.820313
"969",22505.550781
"970",22675.150391
"971",22800.919922
"972",22861.839844
"973",22760.980469
"974",22433.019531
"975",22446.699219
"976",22456.619141
"977",22059.400391
"978",22020.75
"979",21832.679688
"980",21729.060547
"981",21809.800781
"982",21636.199219
"983",21574.759766
"984",21754.740234
"985",21790.910156
"986",22000.560547
"987",22150.400391
"988",22134.470703
"989",22456.689453
"990",22503.009766
"991",22558.689453
"992",22744.849609
"993",22935.349609
"994",22829.019531
"995",22937.380859
"996",22718.150391
"997",22840.970703
"998",23098.259766
"999",23049.960938
"1000",22885.910156
"1001",22898.519531
"1002",22949.859375
"1003",23049.119141
"1004",23374.169922
"1005",23360.779297
"1006",23318.390625
"1007",23184.519531
"1008",23129.210938
"1009",23348.240234
"1010",23331.570313
"1011",23485.130859
"1012",23525.140625
"1013",23574.980469
"1014",23710.980469
"1015",23703.009766
"1016",23994.869141
"1017",24107.699219
"1018",24033.740234
"1019",24146.080078
"1020",23963.630859
"1021",24201.960938
"1022",24114.859375
"1023",23965.699219
"1024",23925.050781
"1025",23740.730469
"1026",23776.490234
"1027",23728.070313
"1028",23552.720703
"1029",23596.279297
"1030",23681.070313
"1031",23782.269531
"1032",23501.560547
"1033",23568.669922
"1034",23829.669922
"1035",23827.949219
"1036",23792.849609
"1037",24288.279297
"1038",24309.929688
"1039",24501.990234
"1040",24593.119141
"1041",24320.410156
"1042",24327.699219
"1043",24358.269531
"1044",24193.699219
"1045",24345.869141
"1046",24392.050781
"1047",24301.089844
"1048",24111.589844
"1049",24261.480469
"1050",24400.800781
"1051",24273.720703
"1052",24267.300781
"1053",24262.179688
"1054",24088.460938
"1055",24313.5
"1056",24261.660156
"1057",23924.539063
"1058",23825.880859
"1059",24056.980469
"1060",24042.019531
"1061",24139.480469
"1062",24455.939453
"1063",24578.429688
"1064",24698.480469
"1065",24615.130859
"1066",24696.130859
"1067",24683.880859
"1068",24476.349609
"1069",24577.910156
"1070",24889.029297
"1071",25015.419922
"1072",25125.550781
"1073",25156.339844
"1074",25371.589844
"1075",25335.939453
"1076",25293.630859
"1077",25136.519531
"1078",25174.869141
"1079",25391.339844
"1080",25403.150391
"1081",25428.5
"1082",25630.779297
"1083",25639.269531
"1084",25701.630859
"1085",25660.650391
"1086",25809.220703
"1087",25924.050781
"1088",25862.990234
"1089",25997.140625
"1090",25974.160156
"1091",26063.060547
"1092",26030.289063
"1093",25708.039063
"1094",25852.099609
"1095",25875.900391
"1096",25565.339844
"1097",25626.490234
"1098",25924.550781
"1099",25843.039063
"1100",25694.580078
"1101",25674.529297
"1102",25670.050781
"1103",25871.890625
"1104",25839.990234
"1105",25683.5
"1106",25965.419922
"1107",25764.580078
"1108",25784.169922
"1109",25389.009766
"1110",25521.970703
"1111",25465.220703
"1112",25340.849609
"1113",25500.060547
"1114",25877.640625
"1115",26043.640625
"1116",26346.169922
"1117",26389.230469
"1118",26470.580078
"1119",26524.939453
"1120",26672.160156
"1121",26740.210938
"1122",26706.089844
"1123",26846.830078
"1124",26852.050781
"1125",26941.019531
"1126",27131.169922
"1127",26979.390625
"1128",27323.990234
"1129",27540.230469
"1130",27607.380859
"1131",27531.009766
"1132",27562.679688
"1133",27690.359375
"1134",27854.910156
"1135",27757.089844
"1136",27444
"1137",26883.509766
"1138",27250.230469
"1139",27174.960938
"1140",27409.070313
"1141",27344.220703
"1142",27047.570313
"1143",27154.679688
"1144",27401.669922
"1145",NA
"1146",27518.599609
"1147",27848.160156
"1148",27863.289063
"1149",27765.009766
"1150",28094.609375
"1151",27970.300781
"1152",27953.160156
"1153",27740.259766
"1154",27741.349609
"1155",27613.759766
"1156",27522.919922
"1157",27668.470703
"1158",27955.130859
"1159",27972.240234
"1160",27894.080078
"1161",27777.199219
"1162",27807.589844
"1163",28159.769531
"1164",28051.410156
"1165",28127.800781
"1166",28110.330078
"1167",27880.529297
"1168",27500.339844
"1169",27513.009766
"1170",27642.429688
"1171",27421.599609
"1172",27554.300781
"1173",28173.210938
"1174",28379.179688
"1175",28458.039063
"1176",28326.589844
"1177",28490.830078
"1178",28389.570313
"1179",28459.029297
"1180",28476.429688
"1181",28692.800781
"1182",28697.490234
"1183",28711.759766
"1184",28159.089844
"1185",28487.240234
"1186",28305.880859
"1187",28154.970703
"1188",28302.890625
"1189",28202.380859
"1190",28438.849609
"1191",28336.189453
"1192",28245.539063
"1193",28594.060547
"1194",28518.640625
"1195",28603.609375
"1196",28596.800781
"1197",28994.339844
"1198",28907.599609
"1199",29136.570313
"1200",29120.919922
"1201",29182.179688
"1202",29152.119141
"1203",28851.689453
"1204",29018.759766
"1205",29199.039063
"1206",29260.310547
"1207",29818.070313
"1208",30003.490234
"1209",29707.939453
"1210",29866.320313
"1211",29686.189453
"1212",29680.849609
"1213",29623.830078
"1214",29177.349609
"1215",29074.240234
"1216",29138.279297
"1217",28842.800781
"1218",28224.800781
"1219",28303.189453
"1220",28639.849609
"1221",28965.289063
"1222",28793.880859
"1223",29222.099609
"1224",29166.380859
"1225",28848.109375
"1226",29050.410156
"1227",29253.660156
"1228",29234.089844
"1229",29367.060547
"1230",29578.009766
"1231",29597.660156
"1232",29863.710938
"1233",29919.150391
"1234",30515.310547
"1235",30560.949219
"1236",30736.480469
"1237",30814.640625
"1238",30899.529297
"1239",31011.410156
"1240",31073.720703
"1241",31120.390625
"1242",31412.539063
"1243",31338.869141
"1244",31904.75
"1245",31983.410156
"1246",32121.939453
"1247",32254.890625
"1248",32393.410156
"1249",32930.699219
"1250",32958.691406
"1251",32654.449219
"1252",33154.121094
"1253",32966.890625
"1254",32607.289063
"1255",32887.269531
"1256",32642.089844
"1257",32601.779297
"1258",32245.220703
"1259",30595.419922
"1260",30323.199219
"1261",30451.269531
"1262",29507.419922
"1263",29459.630859
"1264",29839.529297
"1265",30515.599609
"1266",31115.429688
"1267",30873.630859
"1268",31431.890625
"1269",30965.679688
"1270",31267.169922
"1271",31498.599609
"1272",31268.660156
"1273",30844.720703
"1274",31044.25
"1275",30583.449219
"1276",29886.390625
"1277",30510.730469
"1278",30196.919922
"1279",30654.519531
"1280",30996.210938
"1281",31594.330078
"1282",31601.449219
"1283",31435.009766
"1284",31541.099609
"1285",31501.970703
"1286",31513.759766
"1287",31549.929688
"1288",31414.519531
"1289",31071.050781
"1290",30309.289063
"1291",30548.769531
"1292",30790.830078
"1293",30022.529297
"1294",30093.380859
"1295",30180.099609
"1296",29518.689453
"1297",29844.939453
"1298",30229.580078
"1299",30728.740234
"1300",30897.710938
"1301",30831.279297
"1302",30808.380859
"1303",30315.589844
"1304",30062.75
"1305",30284.25
"1306",30708.439453
"1307",30418.330078
"1308",30254.400391
"1309",30636.240234
"1310",30328.150391
"1311",30007.679688
"1312",30280.669922
"1313",30808.449219
"1314",30723.880859
"1315",30313.369141
"1316",29926.5
"1317",29994.259766
"1318",30402.810547
"1319",30536.140625
"1320",30809.220703
"1321",31122.060547
"1322",31541.080078
"1323",31152.029297
"1324",31110.199219
"1325",30942.150391
"1326",31047.910156
"1327",31234.349609
"1328",30665.640625
"1329",30760.410156
"1330",30588.039063
"1331",30792.259766
"1332",30484.580078
"1333",30056.789063
"1334",30468.560547
"1335",30492.910156
"1336",30997.980469
"1337",31093.449219
"1338",31259.099609
"1339",31512.630859
"1340",30958.210938
"1341",31063.699219
"1342",31103.060547
"1343",30725.150391
"1344",30440.169922
"1345",30309.490234
"1346",29468.150391
"1347",29696.169922
"1348",29296.050781
"1349",29338.699219
"1350",28961.390625
"1351",28881.400391
"1352",28356.259766
"1353",28497.320313
"1354",28955.109375
"1355",28545.570313
"1356",28241.669922
"1357",28182.089844
"1358",28315.619141
"1359",28688.5
"1360",28682.25
"1361",28311.689453
"1362",28480.830078
"1363",28525.439453
"1364",28539.660156
"1365",28181.679688
"1366",28117.419922
"1367",28010.859375
"1368",28224.480469
"1369",28256.119141
"1370",28662.570313
"1371",28920.900391
"1372",28781.140625
"1373",28804.279297
"1374",28733.130859
"1375",28583.009766
"1376",28340.740234
"1377",27714.560547
"1378",27676.320313
"1379",27819.560547
"1380",28248.880859
"1381",28359.140625
"1382",28607.300781
"1383",28366.619141
"1384",27936.570313
"1385",27752.929688
"1386",27323.589844
"1387",27100.060547
"1388",27213.410156
"1389",27598.019531
"1390",27752.789063
"1391",27927.580078
"1392",27790.460938
"1393",27671.869141
"1394",28271.269531
"1395",28351.619141
"1396",28416.439453
"1397",28164.050781
"1398",27888.550781
"1399",27712.539063
"1400",27973.339844
"1401",27243.849609
"1402",26974.820313
"1403",26973.470703
"1404",26613.419922
"1405",26422.550781
"1406",26345.039063
"1407",27014.490234
"1408",27286.410156
"1409",26932.849609
"1410",27084.660156
"1411",27407.369141
"1412",27477.669922
"1413",27953.580078
"1414",27499.390625
"1415",27816.869141
"1416",27715.669922
"1417",27788.519531
"1418",27126.380859
"1419",27091.259766
"1420",26623.869141
"1421",26572.570313
"1422",26202.570313
"1423",26172.910156
"1424",26193.070313
"1425",25266.369141
"1426",25801.490234
"1427",25445.060547
"1428",25462.259766
"1429",25454.550781
"1430",25561.400391
"1431",26153.150391
"1432",25346.550781
"1433",25249.779297
"1434",24994.460938
"1435",24717.630859
"1436",24812.039063
"1437",24585.529297
"1438",24979.689453
"1439",25416
"1440",26486.349609
"1441",25934.390625
"1442",26120.960938
"1443",26147.689453
"1444",26227.720703
"1445",25601.919922
"1446",25633.179688
"1447",25792.869141
