"Date","Ticker","Weight","Close","Divisor","HSI.Close","Shares"
20160104,"1.HK",4.015568,103,325.6708,21327.119141,270782.613794148
20160104,"101.HK",0.559854,17.3,325.6708,21327.119141,224770.700161852
20160104,"1044.HK",0.828013,69.711,325.6708,21327.119141,82498.6532053888
20160104,"1088.HK",0.562009,11.46,325.6708,21327.119141,340619.626858406
20160104,"11.HK",1.578007,143,325.6708,21327.119141,76645.0133156625
20160104,"1109.HK",0.862105,21.55,325.6708,21327.119141,277858.639861541
20160104,"1113.HK",1.920065,49.25,325.6708,21327.119141,270782.574087287
20160104,"12.HK",0.67748,35.575,325.6708,21327.119141,132270.375412918
20160104,"1299.HK",7.900961,45.45,325.6708,21327.119141,1207416.33364792
20160104,"135.HK",0.313106,6.72,325.6708,21327.119141,323618.345356974
20160104,"1398.HK",4.811804,4.52,325.6708,21327.119141,7394018.11264877
20160104,"144.HK",0.436749,23.55,325.6708,21327.119141,128810.724779899
20160104,"151.HK",0.578806,5.55,325.6708,21327.119141,724354.324709347
20160104,"16.HK",2.12638,93.2,325.6708,21327.119141,158465.958736769
20160104,"17.HK",0.596551,7.66,325.6708,21327.119141,540915.995847419
20160104,"1880.HK",0.536473,5.51,325.6708,21327.119141,676250.013193151
20160104,"19.HK",0.720271,84.8,325.6708,21327.119141,58994.4413761242
20160104,"1928.HK",0.89943,25.75,325.6708,21327.119141,242605.784611164
20160104,"2.HK",1.771772,64.8,325.6708,21327.119141,189908.255466139
20160104,"23.HK",0.567678,27.35,325.6708,21327.119141,144163.643265345
20160104,"2318.HK",3.073022,40.85,325.6708,21327.119141,522497.990628996
20160104,"2319.HK",0.493673,12.46,325.6708,21327.119141,275189.810492288
20160104,"2388.HK",1.236143,23.15,325.6708,21327.119141,370876.003660965
20160104,"2628.HK",2.555519,23.8,325.6708,21327.119141,745784.191386394
20160104,"267.HK",1.399923,13.34,325.6708,21327.119141,728885.541270342
20160104,"27.HK",0.824019,24.4,325.6708,21327.119141,234562.410143901
20160104,"291.HK",0.280916,14.739,325.6708,21327.119141,132379.114901478
20160104,"293.HK",0.223766,13.14,325.6708,21327.119141,118279.573383286
20160104,"3.HK",1.493697,11.21,325.6708,21327.119141,925481.863154107
