Date,Ticker,BBG_Ticker,Weight,Close,Divisor
20130102,101 HK,101 HK Equity,0.950945,30.95,312.3787
20130102,1044 HK,1044 HK Equity,0.793131,69.905,312.3787
20130102,1088 HK,1088 HK Equity,1.647418,35.3,312.3787
20130102,11 HK,11 HK Equity,1.254907,119.5,312.3787
20130102,1109 HK,1109 HK Equity,0.627368,22.4,312.3787
20130102,1199 HK,1199 HK Equity,0.260306,11.34,312.3787
20130102,12 HK,12 HK Equity,0.746773,31.78,312.3787
20130102,1249772D HK,1249772D HK Equity,2.324337,121.8,312.3787
20130102,1299 HK,1299 HK Equity,4.62919,31.1,312.3787
20130102,13 HK,13 HK Equity,2.400315,82,312.3787
20130102,135 HK,135 HK Equity,0.73739,16.68,312.3787
20130102,1398 HK,1398 HK Equity,5.774508,5.7,312.3787
20130102,144 HK,144 HK Equity,0.435262,25.45,312.3787
20130102,151 HK,151 HK Equity,1.078955,10.8,312.3787
20130102,16 HK,16 HK Equity,2.383769,118.8,312.3787
20130102,17 HK,17 HK Equity,0.629943,11.692,312.3787
20130102,1880 HK,1880 HK Equity,1.105832,17.36,312.3787
20130102,1898 HK,1898 HK Equity,0.471976,8.81,312.3787
20130102,19 HK,19 HK Equity,0.908401,97.4,312.3787
20130102,1928 HK,1928 HK Equity,1.186269,35.75,312.3787
20130102,2 HK,2 HK Equity,1.701693,65.4,312.3787
20130102,23 HK,23 HK Equity,0.647519,30.25,312.3787
20130102,2318 HK,2318 HK Equity,1.906578,34.125,312.3787
20130102,2388 HK,2388 HK Equity,1.247499,24.55,312.3787
20130102,2600 HK,2600 HK Equity,0.204177,3.77,312.3787
20130102,2628 HK,2628 HK Equity,2.758904,27,312.3787
20130102,267 HK,267 HK Equity,0.29046,12.88,312.3787
20130102,291 HK,291 HK Equity,0.466625,25.94,312.3787
20130102,293 HK,293 HK Equity,0.235632,14.54,312.3787
20130102,3 HK,3 HK Equity,1.53231,12.08,312.3787
20130102,322 HK,322 HK Equity,0.580617,21.6,312.3787
