"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",101007.00,2940313.77,4.19%
NDAQ,"NASDAQ INC",30779.00,2321044.39,3.31%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",32830.00,2202236.40,3.14%
GLW,"CORNING INC",65455.00,2072305.30,2.96%
SPGI,"S&P Global Inc",12516.00,1977903.48,2.82%
COF,"CAPITAL ONE FINL CORP",21967.00,1910030.65,2.72%
RJF,"RAYMOND JAMES FINANCIAL INC",22657.00,1888914.09,2.69%
DAN,"DANA INC",58245.00,1785209.25,2.55%
FCE/A,"FOREST CITY RLTY TR INC",69920.00,1773870.40,2.53%
SC,"SANTANDER CONSUMER USA HDG INC COM",109073.00,1737532.89,2.48%
CRR,"CARBO CERAMICS INC",178651.00,1686465.44,2.41%
AMTD,"TD AMERITRADE HLDG CORP",33859.00,1683469.48,2.40%
SEIC,"SEI INVESTMENTS CO",25383.00,1641518.61,2.34%
ALLY,"ALLY FINL INC",63272.00,1622926.80,2.31%
AMP,"AMERIPRISE FINL INC",9449.00,1486516.68,2.12%
PEN,"PENUMBRA INC",13652.00,1487385.40,2.12%
HBHC,"HANCOCK HLDG CO",30503.00,1467194.30,2.09%
MD,"MEDNAX INC",32164.00,1460888.88,2.08%
TGI,"TRIUMPH GROUP INC NEW",48467.00,1437046.55,2.05%
FITB,"FIFTH THIRD BANCORP",45701.00,1288311.19,1.84%
BEN,"FRANKLIN RES INC",31507.00,1285800.67,1.83%
INVA,"INNOVIVA INC",102012.00,1285351.20,1.83%
OCLR,"OCLARO INC",194713.00,1224744.77,1.75%
PENN,"PENN NATL GAMING INC",43585.00,1183332.75,1.69%
CIT,"CIT GROUP INC",25687.00,1179290.17,1.68%
GNW,"GENWORTH FINL INC",324523.00,1158547.11,1.65%
NEWS,"NEWSTAR FINANCIAL INC",98643.00,1159055.25,1.65%
ORN,"ORION GROUP HOLDINGS INC",150259.00,1135958.04,1.62%
APO,"APOLLO GLOBAL MGMT LLC",36941.00,1078307.79,1.54%
TGNA,"TEGNA INC",86001.00,1064692.38,1.52%
ITGR,"INTEGER HLDGS CORP",20195.00,951184.50,1.36%
PINC,"PREMIER INC",33132.00,925708.08,1.32%
TROW,"PRICE T ROWE GROUP INC",9932.00,927748.12,1.32%
SYX,"SYSTEMAX INC",32661.00,908955.63,1.30%
KRA,"KRATON CORPORATION",18561.00,904106.31,1.29%
WAIR,"WESCO AIRCRAFT HLDGS INC",108989.00,893709.80,1.27%
HIIQ,"HEALTH INS INNOVATIONS INC",33614.00,818500.90,1.17%
LMT,"LOCKHEED MARTIN CORP",2343.00,733241.85,1.05%
RDN,"RADIAN GROUP INC",36456.00,727661.76,1.04%
KSS,"KOHLS CORP",17020.00,700883.60,1.00%
URBN,"URBAN OUTFITTERS INC",26577.00,663096.15,0.95%
BPOP,"POPULAR INC",19774.00,647005.28,0.92%
PDLI,"PDL BIOPHARMA INC",209740.00,641804.40,0.92%
GME,"GAMESTOP CORP NEW",39071.00,632950.20,0.90%
HCA,"HCA HEALTHCARE INC",8104.00,629761.84,0.90%
GM,"GENERAL MTRS CO",13691.00,596516.87,0.85%
ISBC,"INVESTORS BANCORP INC NEW",44535.00,597214.35,0.85%
DAL,"DELTA AIR LINES INC DEL",12037.00,588127.82,0.84%
SRI,"STONERIDGE INC",25875.00,563040.00,0.80%
WLL,"WHITING PETE CORP NEW",20113.75,520342.71,0.74%
UNH,"UNITEDHEALTH GROUP INC",2222.00,472530.52,0.67%
GBX,"GREENBRIER COS INC",9927.00,465079.95,0.66%
PVAC,"PENN VA CORP NEW",11864.00,459136.80,0.65%
NWL,"NEWELL BRANDS INC",15814.00,450224.58,0.64%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",43546.00,446781.96,0.64%
BLK,"BLACKROCK INC",954.00,443714.94,0.63%
HLS,"HEALTHSOUTH CORP",9085.00,442439.50,0.63%
ACTG,"ACACIA RESH CORP",110692.00,437233.40,0.62%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",28836.00,399378.60,0.57%
CSBK,"CLIFTON BANCORP INC",22890.00,389130.00,0.55%
LB,"L BRANDS INC",7727.00,378236.65,0.54%
PLAB,"PHOTRONICS INC",42086.00,380878.30,0.54%
MOS,"MOSAIC CO NEW",15041.00,350154.48,0.50%
UHS,"UNIVERSAL HLTH SVCS INC",3424.00,334730.24,0.48%
PRTY,"PARTY CITY HOLDCO INC",28297.00,318341.25,0.45%
VSTO,"VISTA OUTDOOR INC",21017.00,279946.44,0.40%
AGNC,"AGNC INVT CORP",12079.00,239405.78,0.34%
LPNT,"LIFEPOINT HEALTH INC",4856.00,216092.00,0.31%
MCHP,"MICROCHIP TECHNOLOGY INC",2360.00,214807.20,0.31%
AAN,"AARONS INC",5964.00,211900.92,0.30%
ALGT,"ALLEGIANT TRAVEL CO",1552.00,197259.20,0.28%
AGX,"ARGAN INC",2530.00,165968.00,0.24%
VRS,"VERSO CORP",16215.00,118693.80,0.17%
ILG,"ILG INC",3002.00,87388.22,0.12%
