"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",117292.00,3413197.20,4.66%
RJF,"RAYMOND JAMES FINANCIAL INC",28216.00,2364782.96,3.23%
TGI,"TRIUMPH GROUP INC NEW",68812.00,2126290.80,2.90%
PEN,"PENUMBRA INC",20918.00,2084478.70,2.85%
BEN,"FRANKLIN RES INC",48970.00,2076817.70,2.83%
TGNA,"TEGNA INC",166192.00,2055795.04,2.81%
GNW,"GENWORTH FINL INC",571812.00,1944160.80,2.65%
FCE/A,"FOREST CITY RLTY TR INC",71744.00,1790730.24,2.44%
ALLY,"ALLY FINL INC",64922.00,1710694.70,2.33%
CIT,"CIT GROUP INC",36227.00,1676585.56,2.29%
RDN,"RADIAN GROUP INC",79532.00,1655060.92,2.26%
ITGR,"INTEGER HLDGS CORP",34514.00,1642866.40,2.24%
OCLR,"OCLARO INC",199792.00,1602331.84,2.19%
NDAQ,"NASDAQ INC",21688.00,1570428.08,2.14%
TROW,"PRICE T ROWE GROUP INC",16711.00,1546937.27,2.11%
AMTD,"TD AMERITRADE HLDG CORP",30270.00,1492311.00,2.04%
CRR,"CARBO CERAMICS INC",183310.00,1492143.40,2.04%
SC,"SANTANDER CONSUMER USA HDG INC COM",88328.00,1485676.96,2.03%
DAN,"DANA INC",46164.00,1425544.32,1.95%
NEWS,"NEWSTAR FINANCIAL INC",114503.00,1404951.81,1.92%
MD,"MEDNAX INC",33001.00,1364591.35,1.86%
GLW,"CORNING INC",40280.00,1274056.40,1.74%
INVA,"INNOVIVA INC",104673.00,1278057.33,1.74%
WAIR,"WESCO AIRCRAFT HLDGS INC",136031.00,1251485.20,1.71%
GT,"GOODYEAR TIRE & RUBR CO",39702.00,1200191.46,1.64%
SPGI,"S&P Global Inc",7654.00,1198310.24,1.64%
PENN,"PENN NATL GAMING INC",44722.00,1165902.54,1.59%
FITB,"FIFTH THIRD BANCORP",40064.00,1160253.44,1.58%
GM,"GENERAL MTRS CO",26550.00,1145101.50,1.56%
PINC,"PREMIER INC",35438.00,1114525.10,1.52%
WLL,"WHITING PETE CORP NEW",171154.00,1079981.74,1.47%
SYX,"SYSTEMAX INC",33513.00,1062026.97,1.45%
AMP,"AMERIPRISE FINL INC",6697.00,1053973.86,1.44%
ORN,"ORION GROUP HOLDINGS INC",150416.00,1052912.00,1.44%
KRA,"KRATON CORPORATION",20896.00,1031008.64,1.41%
BLK,"BLACKROCK INC",1984.00,931071.36,1.27%
VSTO,"VISTA OUTDOOR INC",41829.00,859585.95,1.17%
COF,"CAPITAL ONE FINL CORP",9112.00,837392.80,1.14%
URBN,"URBAN OUTFITTERS INC",31015.00,773514.10,1.06%
NWL,"NEWELL BRANDS INC",18355.00,752555.00,1.03%
GME,"GAMESTOP CORP NEW",40088.00,745636.80,1.02%
HIIQ,"HEALTH INS INNOVATIONS INC",34490.00,734637.00,1.00%
KSS,"KOHLS CORP",17464.00,731741.60,1.00%
GBX,"GREENBRIER COS INC",14143.00,724828.75,0.99%
HCA,"HCA HEALTHCARE INC",9405.00,722586.15,0.99%
PVAC,"PENN VA CORP NEW",17938.00,707833.48,0.97%
PRTY,"PARTY CITY HOLDCO INC",58251.00,640761.00,0.87%
ISBC,"INVESTORS BANCORP INC NEW",45696.00,625121.28,0.85%
SRI,"STONERIDGE INC",26550.00,589410.00,0.80%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",40863.00,528767.22,0.72%
BPOP,"POPULAR INC",15121.00,523942.65,0.72%
LB,"L BRANDS INC",11682.00,509452.02,0.70%
ACTG,"ACACIA RESH CORP",113578.00,508261.55,0.69%
APO,"APOLLO GLOBAL MGMT LLC",15350.00,485520.50,0.66%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",44680.00,474054.80,0.65%
MCHP,"MICROCHIP TECHNOLOGY INC",4958.00,461044.42,0.63%
PLAB,"PHOTRONICS INC",48853.00,461660.85,0.63%
ALGT,"ALLEGIANT TRAVEL CO",3241.00,441910.35,0.60%
FNSR,"FINISAR CORP",20060.00,443125.40,0.60%
UHS,"UNIVERSAL HLTH SVCS INC",4219.00,430844.28,0.59%
HLS,"HEALTHSOUTH CORP",9322.00,422659.48,0.58%
AAN,"AARONS INC",11682.00,419734.26,0.57%
AGFS,"AGROFRESH SOLUTIONS",68915.00,409355.10,0.56%
LPNT,"LIFEPOINT HEALTH INC",8143.00,379870.95,0.52%
MOS,"MOSAIC CO NEW",15431.00,349357.84,0.48%
HTZ,"HERTZ GOLBAL HOLDINGS INC",13646.00,332962.40,0.45%
RCII,"RENT A CTR INC NEW",28084.00,285895.12,0.39%
BKD,"BROOKDALE SR LIVING INC",27891.00,274447.44,0.37%
AGNC,"AGNC INVT CORP",12394.00,250358.80,0.34%
CTB,"COOPER TIRE & RUBR CO",3540.00,115581.00,0.16%
VRS,"VERSO CORP",16638.00,118961.70,0.16%
PDLI,"PDL BIOPHARMA INC",34692.00,103729.08,0.14%
