"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",113316.00,3312226.68,4.67%
PEN,"PENUMBRA INC",23988.00,2411993.40,3.40%
RJF,"RAYMOND JAMES FINANCIAL INC",27260.00,2311102.80,3.26%
TGNA,"TEGNA INC",182172.00,2227963.56,3.14%
TGI,"TRIUMPH GROUP INC NEW",66480.00,2064204.00,2.91%
BEN,"FRANKLIN RES INC",47310.00,1993170.30,2.81%
ALLY,"ALLY FINL INC",72502.00,1894477.26,2.67%
GNW,"GENWORTH FINL INC",552432.00,1828549.92,2.58%
FCE/A,"FOREST CITY RLTY TR INC",69312.00,1707154.56,2.41%
CIT,"CIT GROUP INC",34999.00,1631653.38,2.30%
ITGR,"INTEGER HLDGS CORP",33346.00,1620615.60,2.28%
RDN,"RADIAN GROUP INC",76836.00,1610482.56,2.27%
OCLR,"OCLARO INC",193020.00,1596275.40,2.25%
NDAQ,"NASDAQ INC",20956.00,1522453.40,2.15%
TROW,"PRICE T ROWE GROUP INC",16147.00,1500056.30,2.11%
CRR,"CARBO CERAMICS INC",177098.00,1466371.44,2.07%
AMTD,"TD AMERITRADE HLDG CORP",29246.00,1462007.54,2.06%
SC,"SANTANDER CONSUMER USA HDG INC COM",85336.00,1419991.04,2.00%
MD,"MEDNAX INC",31885.00,1396244.15,1.97%
DAN,"DANA INC",44600.00,1359854.00,1.92%
NEWS,"NEWSTAR FINANCIAL INC",110623.00,1358450.44,1.91%
WAIR,"WESCO AIRCRAFT HLDGS INC",145114.00,1313281.70,1.85%
INVA,"INNOVIVA INC",101125.00,1237770.00,1.74%
GLW,"CORNING INC",38916.00,1218459.96,1.72%
GT,"GOODYEAR TIRE & RUBR CO",38358.00,1173371.22,1.65%
SPGI,"S&P Global Inc",7398.00,1157565.06,1.63%
PENN,"PENN NATL GAMING INC",43206.00,1127244.54,1.59%
FITB,"FIFTH THIRD BANCORP",38708.00,1118661.20,1.58%
PINC,"PREMIER INC",34238.00,1118555.46,1.58%
GM,"GENERAL MTRS CO",25650.00,1102437.00,1.55%
ORN,"ORION GROUP HOLDINGS INC",145320.00,1046304.00,1.47%
AMP,"AMERIPRISE FINL INC",6473.00,1013283.42,1.43%
KRA,"KRATON CORPORATION",20188.00,989817.64,1.40%
WLL,"WHITING PETE CORP NEW",165354.00,993777.54,1.40%
SYX,"SYSTEMAX INC",32377.00,924363.35,1.30%
BLK,"BLACKROCK INC",1920.00,903993.60,1.27%
VSTO,"VISTA OUTDOOR INC",40413.00,845035.83,1.19%
COF,"CAPITAL ONE FINL CORP",8804.00,811552.72,1.14%
URBN,"URBAN OUTFITTERS INC",29967.00,734790.84,1.04%
GME,"GAMESTOP CORP NEW",38732.00,723901.08,1.02%
NWL,"NEWELL BRANDS INC",17735.00,723233.30,1.02%
GBX,"GREENBRIER COS INC",13667.00,713417.40,1.01%
HIIQ,"HEALTH INS INNOVATIONS INC",33322.00,716423.00,1.01%
KSS,"KOHLS CORP",16872.00,704574.72,0.99%
HCA,"HCA HEALTHCARE INC",9089.00,687582.85,0.97%
PVAC,"PENN VA CORP NEW",17330.00,675350.10,0.95%
HTZ,"HERTZ GOLBAL HOLDINGS INC",25158.00,625679.46,0.88%
PRTY,"PARTY CITY HOLDCO INC",56279.00,627510.85,0.88%
SRI,"STONERIDGE INC",25650.00,583281.00,0.82%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",39479.00,514016.58,0.72%
ACTG,"ACACIA RESH CORP",109730.00,493785.00,0.70%
LB,"L BRANDS INC",11286.00,485749.44,0.68%
APO,"APOLLO GLOBAL MGMT LLC",14830.00,468331.40,0.66%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",43168.00,461897.60,0.65%
PLAB,"PHOTRONICS INC",47197.00,457810.90,0.65%
FNSR,"FINISAR CORP",19380.00,456205.20,0.64%
MCHP,"MICROCHIP TECHNOLOGY INC",4790.00,454092.00,0.64%
ALGT,"ALLEGIANT TRAVEL CO",3133.00,427341.20,0.60%
AAN,"AARONS INC",11286.00,415324.80,0.59%
HLS,"HEALTHSOUTH CORP",9006.00,415536.84,0.59%
UHS,"UNIVERSAL HLTH SVCS INC",4079.00,418913.30,0.59%
AGFS,"AGROFRESH SOLUTIONS",66579.00,392816.10,0.55%
LPNT,"LIFEPOINT HEALTH INC",7867.00,378796.05,0.53%
MOS,"MOSAIC CO NEW",14911.00,333111.74,0.47%
BKD,"BROOKDALE SR LIVING INC",26947.00,270278.41,0.38%
RCII,"RENT A CTR INC NEW",27132.00,269692.08,0.38%
CTB,"COOPER TIRE & RUBR CO",3420.00,112176.00,0.16%
VRS,"VERSO CORP",16074.00,112678.74,0.16%
PDLI,"PDL BIOPHARMA INC",33516.00,99207.36,0.14%
