"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
AAN,"AARONS INC",6878,244788.02,0.33%
ACTG,"ACACIA RESH CORP",115502,513983.9,0.69%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",30086,391719.72,0.53%
AGFS,"AGROFRESH SOLUTIONS",49331,259481.06,0.35%
AGNC,"AGNC INVT CORP",12604,244895.72,0.33%
ALGT,"ALLEGIANT TRAVEL CO",1617,214414.2,0.29%
ALLY,"ALLY FINL INC",66022,1772690.7,2.39%
AMP,"AMERIPRISE FINL INC",9859,1583848.35,2.14%
AMTD,"TD AMERITRADE HLDG CORP",35329,1739599.96,2.35%
APO,"APOLLO GLOBAL MGMT LLC",31426,977662.86,1.32%
BEN,"FRANKLIN RES INC",38040,1620123.6,2.18%
BKD,"BROOKDALE SR LIVING INC",12308,126649.32,0.17%
BLK,"BLACKROCK INC",994,472756.34,0.64%
BPOP,"POPULAR INC",20629,705511.8,0.95%
BYD,"BOYD GAMING CORP",105397,3093401.95,4.17%
CIT,"CIT GROUP INC",36841,1692843.95,2.28%
COF,"CAPITAL ONE FINL CORP",23127,2134622.1,2.88%
CRR,"CARBO CERAMICS INC",186416,1625547.52,2.19%
CSBK,"CLIFTON BANCORP INC",23885,416076.7,0.56%
DAL,"DELTA AIR LINES INC DEL",12557,635007.49,0.86%
DAN,"DANA INC",60775,1876732,2.53%
FCE/A,"FOREST CITY RLTY TR INC",72960,1824729.6,2.46%
FITB,"FIFTH THIRD BANCORP",47686,1394338.64,1.88%
FNSR,"FINISAR CORP",20400,392700,0.53%
GBX,"GREENBRIER COS INC",10357,530278.4,0.72%
GLW,"CORNING INC",91690,2919409.6,3.94%
GM,"GENERAL MTRS CO",14286,602012.04,0.81%
GME,"GAMESTOP CORP NEW",40766,726857.78,0.98%
GNW,"GENWORTH FINL INC",456625,1579922.5,2.13%
HBHC,"HANCOCK HLDG CO",31828,1548432.2,2.09%
HCA,"HCA HEALTHCARE INC",8454,649858.98,0.88%
HIIQ,"HEALTH INS INNOVATIONS INC",35074,778642.8,1.05%
HLS,"HEALTHSOUTH CORP",9480,460064.4,0.62%
HTZ,"HERTZ GOLBAL HOLDINGS INC",-805,-20438.95,-0.03%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",34255,2267681,3.06%
INVA,"INNOVIVA INC",106447,1325265.15,1.79%
ISBC,"INVESTORS BANCORP INC NEW",46470,636174.3,0.86%
ITGR,"INTEGER HLDGS CORP",21070,978701.5,1.32%
KRA,"KRATON CORPORATION",19366,982630.84,1.33%
KSS,"KOHLS CORP",17760,756931.2,1.02%
LB,"L BRANDS INC",8062,383589.96,0.52%
LPNT,"LIFEPOINT HEALTH INC",5066,232529.4,0.31%
MCHP,"MICROCHIP TECHNOLOGY INC",2460,234585.6,0.32%
MD,"MEDNAX INC",33559,1471562.15,1.98%
MOS,"MOSAIC CO NEW",15691,352890.59,0.48%
NDAQ,"NASDAQ INC",32114,2311244.58,3.12%
NEWS,"NEWSTAR FINANCIAL INC",102928,1244399.52,1.68%
NWL,"NEWELL BRANDS INC",16499,508499.18,0.69%
OCLR,"OCLARO INC",203178,1255640.04,1.69%
ORN,"ORION GROUP HOLDINGS INC",156789,1105362.45,1.49%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",45436,477078,0.64%
PDLI,"PDL BIOPHARMA INC",136915,421698.2,0.57%
PEN,"PENUMBRA INC",14242,1479031.7,1.99%
PENN,"PENN NATL GAMING INC",45480,1209768,1.63%
PINC,"PREMIER INC",34572,1081412.16,1.46%
PLAB,"PHOTRONICS INC",49681,457065.2,0.62%
PRTY,"PARTY CITY HOLDCO INC",29527,320367.95,0.43%
PVAC,"PENN VA CORP NEW",12379,486866.07,0.66%
RDN,"RADIAN GROUP INC",38041,768808.61,1.04%
RJF,"RAYMOND JAMES FINANCIAL INC",26496,2260638.72,3.05%
SC,"SANTANDER CONSUMER USA HDG INC COM",113813,1926854.09,2.60%
SEIC,"SEI INVESTMENTS CO",11488,755336,1.02%
SPGI,"S&P Global Inc",13056,2071203.84,2.79%
SRI,"STONERIDGE INC",27000,597510,0.81%
SYX,"SYSTEMAX INC",34081,1046627.51,1.41%
TGI,"TRIUMPH GROUP INC NEW",56503,1768543.9,2.39%
TGNA,"TEGNA INC",79659,939976.2,1.27%
TROW,"PRICE T ROWE GROUP INC",11753,1115947.35,1.50%
UHS,"UNIVERSAL HLTH SVCS INC",3569,363145.75,0.49%
URBN,"URBAN OUTFITTERS INC",31539,787844.22,1.06%
VRS,"VERSO CORP",16920,123516,0.17%
VSTO,"VISTA OUTDOOR INC",21927,421875.48,0.57%
WAIR,"WESCO AIRCRAFT HLDGS INC",113724,1029202.2,1.39%
WLL,"WHITING PETE CORP NEW",83941,594302.28,0.80%
