"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",103641.00,3033572.07,4.20%
NDAQ,"NASDAQ INC",31580.00,2328393.40,3.22%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",33685.00,2229947.00,3.09%
GLW,"CORNING INC",67162.00,2135079.98,2.96%
SPGI,"S&P Global Inc",12840.00,2027564.40,2.81%
COF,"CAPITAL ONE FINL CORP",22743.00,2003885.73,2.77%
RJF,"RAYMOND JAMES FINANCIAL INC",23245.00,1943514.45,2.69%
DAN,"DANA INC",59763.00,1827552.54,2.53%
SC,"SANTANDER CONSUMER USA HDG INC COM",111917.00,1814174.57,2.51%
FCE/A,"FOREST CITY RLTY TR INC",71744.00,1775664.00,2.46%
AMTD,"TD AMERITRADE HLDG CORP",34741.00,1680769.58,2.33%
SEIC,"SEI INVESTMENTS CO",26043.00,1685763.39,2.33%
ALLY,"ALLY FINL INC",64922.00,1655511.00,2.29%
PEN,"PENUMBRA INC",14006.00,1622595.10,2.25%
CRR,"CARBO CERAMICS INC",183310.00,1618627.30,2.24%
TGI,"TRIUMPH GROUP INC NEW",49730.00,1576441.00,2.18%
AMP,"AMERIPRISE FINL INC",9695.00,1541989.75,2.14%
BEN,"FRANKLIN RES INC",35715.00,1476100.95,2.04%
MD,"MEDNAX INC",33001.00,1473494.65,2.04%
CIT,"CIT GROUP INC",32529.00,1466407.32,2.03%
HBHC,"HANCOCK HLDG CO",31298.00,1461616.60,2.02%
FITB,"FIFTH THIRD BANCORP",46892.00,1313444.92,1.82%
INVA,"INNOVIVA INC",104673.00,1287477.90,1.78%
PENN,"PENN NATL GAMING INC",44722.00,1211518.98,1.68%
NEWS,"NEWSTAR FINANCIAL INC",101214.00,1209507.30,1.67%
OCLR,"OCLARO INC",199792.00,1206743.68,1.67%
ORN,"ORION GROUP HOLDINGS INC",154177.00,1188704.67,1.65%
GNW,"GENWORTH FINL INC",332986.00,1185430.16,1.64%
APO,"APOLLO GLOBAL MGMT LLC",37904.00,1156072.00,1.60%
SYX,"SYSTEMAX INC",33513.00,1055659.50,1.46%
PINC,"PREMIER INC",33996.00,1021579.80,1.41%
TGNA,"TEGNA INC",78333.00,991695.78,1.37%
WAIR,"WESCO AIRCRAFT HLDGS INC",111830.00,972921.00,1.35%
ITGR,"INTEGER HLDGS CORP",20720.00,965552.00,1.34%
TROW,"PRICE T ROWE GROUP INC",10190.00,944816.80,1.31%
KRA,"KRATON CORPORATION",19044.00,927442.80,1.28%
HIIQ,"HEALTH INS INNOVATIONS INC",34490.00,820862.00,1.14%
LMT,"LOCKHEED MARTIN CORP",2403.00,747525.24,1.04%
RDN,"RADIAN GROUP INC",37407.00,745895.58,1.03%
KSS,"KOHLS CORP",17464.00,718992.88,1.00%
GME,"GAMESTOP CORP NEW",40088.00,703945.28,0.97%
URBN,"URBAN OUTFITTERS INC",27270.00,680931.90,0.94%
BPOP,"POPULAR INC",20287.00,667645.17,0.92%
HCA,"HCA HEALTHCARE INC",8314.00,660214.74,0.91%
PDLI,"PDL BIOPHARMA INC",215209.00,652083.27,0.90%
DAL,"DELTA AIR LINES INC DEL",12349.00,607447.31,0.84%
ISBC,"INVESTORS BANCORP INC NEW",45696.00,602730.24,0.83%
GM,"GENERAL MTRS CO",14048.00,591561.28,0.82%
WLL,"WHITING PETROLEUM CORP",20635.75,575737.43,0.80%
SRI,"STONERIDGE INC",26550.00,570825.00,0.79%
GBX,"GREENBRIER COS INC",10185.00,493972.50,0.68%
NWL,"NEWELL BRANDS INC",16225.00,488372.50,0.68%
PVAC,"PENN VA CORP NEW",12173.00,472190.67,0.65%
HLS,"HEALTHSOUTH CORP",9322.00,458922.06,0.64%
ACTG,"ACACIA RESH CORP",113578.00,454312.00,0.63%
BLK,"BLACKROCK INC",978.00,456334.80,0.63%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",44680.00,457523.20,0.63%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",29586.00,396156.54,0.55%
CSBK,"CLIFTON BANCORP INC",23487.00,394346.73,0.55%
PLAB,"PHOTRONICS INC",43181.00,392947.10,0.54%
LB,"L BRANDS INC",7928.00,382526.00,0.53%
UHS,"UNIVERSAL HLTH SVCS INC",3511.00,350362.69,0.49%
MOS,"MOSAIC CO NEW",15431.00,347197.50,0.48%
PRTY,"PARTY CITY HOLDCO INC",29035.00,339709.50,0.47%
VSTO,"VISTA OUTDOOR INC",21563.00,285709.75,0.40%
AGNC,"AGNC INVT CORP",12394.00,243542.10,0.34%
LPNT,"LIFEPOINT HEALTH INC",4982.00,225809.15,0.31%
AAN,"AARONS INC",6117.00,217887.54,0.30%
MCHP,"MICROCHIP TECHNOLOGY INC",2420.00,219760.20,0.30%
ALGT,"ALLEGIANT TRAVEL CO",1591.00,201818.35,0.28%
FNSR,"FINISAR CORP",10024.00,183238.72,0.25%
AGX,"ARGAN INC",2596.00,173932.00,0.24%
VRS,"VERSO CORP",16638.00,121457.40,0.17%
AGFS,"AGROFRESH SOLUTIONS",17618.00,91789.78,0.13%
