"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",99251.00,3016237.89,4.26%
FCE/A,"FOREST CITY RLTY TR INC",100914.00,2550096.78,3.60%
NDAQ,"NASDAQ INC",29655.00,2290552.20,3.23%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",32260.00,2202712.80,3.11%
GLW,"CORNING INC",64317.00,2053641.81,2.90%
SPGI,"S&P Global Inc",12300.00,2013510.00,2.84%
COF,"CAPITAL ONE FINL CORP",21585.00,1898400.75,2.68%
RJF,"RAYMOND JAMES FINANCIAL INC",22263.00,1895694.45,2.68%
SC,"SANTANDER CONSUMER USA HDG INC COM",107177.00,1831654.93,2.59%
DAN,"DANA INC",57233.00,1824015.71,2.58%
CRR,"CARBO CERAMICS INC",175545.00,1760716.35,2.49%
SEIC,"SEI INVESTMENTS CO",24943.00,1710840.37,2.42%
ALLY,"ALLY FINL INC",62172.00,1640719.08,2.32%
AMTD,"TD AMERITRADE HLDG CORP",33271.00,1636933.20,2.31%
AMP,"AMERIPRISE FINL INC",9285.00,1483371.60,2.09%
HBHC,"HANCOCK HLDG CO",29483.00,1459408.50,2.06%
PEN,"PENUMBRA INC",13416.00,1442890.80,2.04%
TGI,"TRIUMPH GROUP INC NEW",47625.00,1438275.00,2.03%
OCLR,"OCLARO INC",191327.00,1312503.22,1.85%
BEN,"FRANKLIN RES INC",30961.00,1287358.38,1.82%
FITB,"FIFTH THIRD BANCORP",44907.00,1278951.36,1.81%
CIT,"CIT GROUP INC",25241.00,1201724.01,1.70%
PENN,"PENN NATL GAMING INC",42827.00,1191875.41,1.68%
ORN,"ORION GROUP HOLDINGS INC",147647.00,1160505.42,1.64%
NEWS,"NEWSTAR FINANCIAL INC",96929.00,1155393.68,1.63%
GNW,"GENWORTH FINL INC",318881.00,1109705.88,1.57%
APO,"APOLLO GLOBAL MGMT LLC",36299.00,1094777.84,1.55%
TGNA,"TEGNA INC",84507.00,1101126.21,1.55%
SYX,"SYSTEMAX INC",32093.00,970492.32,1.37%
ITGR,"INTEGER HLDGS CORP",19845.00,962482.50,1.36%
TROW,"PRICE T ROWE GROUP INC",9760.00,953844.80,1.35%
PINC,"PREMIER INC",32556.00,917428.08,1.30%
KRA,"KRATON CORPORATION",18239.00,891704.71,1.26%
WAIR,"WESCO AIRCRAFT HLDGS INC",101199.00,809592.00,1.14%
HIIQ,"HEALTH INS INNOVATIONS INC",33030.00,796023.00,1.12%
RDN,"RADIAN GROUP INC",35822.00,752978.44,1.06%
NVDA,"NVIDIA CORP",3446.00,744508.30,1.05%
KSS,"KOHLS CORP",16724.00,739368.04,1.04%
LMT,"LOCKHEED MARTIN CORP",2303.00,729912.82,1.03%
MD,"MEDNAX INC",14603.00,707077.26,1.00%
BGCP,"BGC PARTNERS INC",43728.00,700085.28,0.99%
BPOP,"POPULAR INC",19432.00,684783.68,0.97%
INVA,"INNOVIVA INC",50009.00,670620.69,0.95%
GME,"GAMESTOP CORP NEW",38393.00,642314.89,0.91%
ISBC,"INVESTORS BANCORP INC NEW",43761.00,621843.81,0.88%
DAL,"DELTA AIR LINES INC DEL",11829.00,599375.43,0.85%
GM,"GENERAL MTRS CO",13453.00,604981.41,0.85%
HCA,"HCA HEALTHCARE INC",7964.00,604387.96,0.85%
PDLI,"PDL BIOPHARMA INC",206094.00,593550.72,0.84%
SRI,"STONERIDGE INC",25425.00,578927.25,0.82%
UNH,"UNITEDHEALTH GROUP INC",2184.00,464318.40,0.66%
ACTG,"ACACIA RESH CORP",108768.00,451387.20,0.64%
BLK,"BLACKROCK INC",938.00,451515.68,0.64%
GBX,"GREENBRIER COS INC",9755.00,454095.25,0.64%
HLS,"HEALTHSOUTH CORP",8927.00,432602.42,0.61%
NWL,"NEWELL BRANDS INC",15540.00,434653.80,0.61%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",42790.00,426616.30,0.60%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",28336.00,420789.60,0.59%
PVAC,"PENN VA CORP NEW",11658.00,416773.50,0.59%
CSBK,"CLIFTON BANCORP INC",22492.00,382139.08,0.54%
PLAB,"PHOTRONICS INC",41356.00,376339.60,0.53%
MOS,"MOSAIC CO NEW",14781.00,348979.41,0.49%
PRTY,"PARTY CITY HOLDCO INC",27805.00,346172.25,0.49%
CWH,"CAMPING WORLD HLDGS INC",7731.00,337226.22,0.48%
UHS,"UNIVERSAL HLTH SVCS INC",3366.00,332459.82,0.47%
WLL,"WHITING PETE CORP NEW",14716.75,320972.32,0.45%
VSTO,"VISTA OUTDOOR INC",20653.00,297609.73,0.42%
LB,"L BRANDS INC",5400.00,268326.00,0.38%
AGNC,"AGNC INVT CORP",11869.00,239872.49,0.34%
AAN,"AARONS INC",5862.00,212204.40,0.30%
ALGT,"ALLEGIANT TRAVEL CO",1526.00,211198.40,0.30%
LPNT,"LIFEPOINT HEALTH INC",4772.00,209252.20,0.30%
MCHP,"MICROCHIP TECHNOLOGY INC",2320.00,213138.40,0.30%
AGX,"ARGAN INC",2486.00,151521.70,0.21%
ILG,"ILG INC",2950.00,82924.50,0.12%
