"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",101007.00,2918092.23,4.17%
NDAQ,"NASDAQ INC",30779.00,2264411.03,3.23%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",32830.00,2175644.10,3.11%
GLW,"CORNING INC",65455.00,2076887.15,2.96%
SPGI,"S&P Global Inc",12516.00,1964261.04,2.80%
COF,"CAPITAL ONE FINL CORP",21967.00,1914424.05,2.73%
RJF,"RAYMOND JAMES FINANCIAL INC",22657.00,1892992.35,2.70%
DAN,"DANA INC",58245.00,1780549.65,2.54%
SC,"SANTANDER CONSUMER USA HDG INC COM",109073.00,1764801.14,2.52%
FCE/A,"FOREST CITY RLTY TR INC",69920.00,1742406.40,2.49%
CRR,"CARBO CERAMICS INC",178651.00,1688251.95,2.41%
AMTD,"TD AMERITRADE HLDG CORP",33859.00,1654350.74,2.36%
SEIC,"SEI INVESTMENTS CO",25383.00,1641772.44,2.34%
ALLY,"ALLY FINL INC",63272.00,1617865.04,2.31%
TGI,"TRIUMPH GROUP INC NEW",48467.00,1521863.80,2.17%
AMP,"AMERIPRISE FINL INC",9449.00,1485571.78,2.12%
PEN,"PENUMBRA INC",13652.00,1450525.00,2.07%
HBHC,"HANCOCK HLDG CO",30503.00,1436691.30,2.05%
MD,"MEDNAX INC",32164.00,1430333.08,2.04%
BEN,"FRANKLIN RES INC",31507.00,1295882.91,1.85%
INVA,"INNOVIVA INC",102012.00,1284331.08,1.83%
CIT,"CIT GROUP INC",28533.00,1275139.77,1.82%
FITB,"FIFTH THIRD BANCORP",45701.00,1264546.67,1.80%
OCLR,"OCLARO INC",194713.00,1211114.86,1.73%
NEWS,"NEWSTAR FINANCIAL INC",98643.00,1179770.28,1.68%
PENN,"PENN NATL GAMING INC",43585.00,1171564.80,1.67%
GNW,"GENWORTH FINL INC",324523.00,1158547.11,1.65%
ORN,"ORION GROUP HOLDINGS INC",150259.00,1141968.40,1.63%
APO,"APOLLO GLOBAL MGMT LLC",36941.00,1122636.99,1.60%
SYX,"SYSTEMAX INC",32661.00,951414.93,1.36%
TGNA,"TEGNA INC",76344.00,954300.00,1.36%
WAIR,"WESCO AIRCRAFT HLDGS INC",108989.00,937305.40,1.34%
TROW,"PRICE T ROWE GROUP INC",9932.00,929337.24,1.33%
ITGR,"INTEGER HLDGS CORP",20195.00,925940.75,1.32%
PINC,"PREMIER INC",33132.00,920738.28,1.31%
KRA,"KRATON CORPORATION",18561.00,899094.84,1.28%
HIIQ,"HEALTH INS INNOVATIONS INC",33614.00,805055.30,1.15%
KSS,"KOHLS CORP",17020.00,732540.80,1.05%
LMT,"LOCKHEED MARTIN CORP",2343.00,729071.31,1.04%
RDN,"RADIAN GROUP INC",36456.00,717089.52,1.02%
URBN,"URBAN OUTFITTERS INC",26577.00,675055.80,0.96%
BPOP,"POPULAR INC",19774.00,662626.74,0.95%
GME,"GAMESTOP CORP NEW",39071.00,641936.53,0.92%
HCA,"HCA HEALTHCARE INC",8104.00,637622.72,0.91%
PDLI,"PDL BIOPHARMA INC",209740.00,637609.60,0.91%
DAL,"DELTA AIR LINES INC DEL",12037.00,588488.93,0.84%
ISBC,"INVESTORS BANCORP INC NEW",44535.00,588307.35,0.84%
GM,"GENERAL MTRS CO",13691.00,584058.06,0.83%
SRI,"STONERIDGE INC",25875.00,558382.50,0.80%
WLL,"WHITING PETROLEUM CORP",20113.75,517727.93,0.74%
GBX,"GREENBRIER COS INC",9927.00,479474.10,0.68%
UNH,"UNITEDHEALTH GROUP INC",2222.00,468997.54,0.67%
NWL,"NEWELL BRANDS INC",15814.00,463350.20,0.66%
PVAC,"PENN VA CORP NEW",11864.00,459374.08,0.66%
ACTG,"ACACIA RESH CORP",110692.00,442768.00,0.63%
BLK,"BLACKROCK INC",954.00,444401.82,0.63%
HLS,"HEALTHSOUTH CORP",9085.00,440622.50,0.63%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",43546.00,442862.82,0.63%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",28836.00,403127.28,0.58%
CSBK,"CLIFTON BANCORP INC",22890.00,387069.90,0.55%
LB,"L BRANDS INC",7727.00,383722.82,0.55%
PLAB,"PHOTRONICS INC",42086.00,382982.60,0.55%
MOS,"MOSAIC CO NEW",15041.00,343536.44,0.49%
UHS,"UNIVERSAL HLTH SVCS INC",3424.00,334559.04,0.48%
PRTY,"PARTY CITY HOLDCO INC",28297.00,316926.40,0.45%
VSTO,"VISTA OUTDOOR INC",21017.00,279105.76,0.40%
AGNC,"AGNC INVT CORP",12079.00,236144.45,0.34%
AAN,"AARONS INC",5964.00,218222.76,0.31%
LPNT,"LIFEPOINT HEALTH INC",4856.00,214635.20,0.31%
MCHP,"MICROCHIP TECHNOLOGY INC",2360.00,216081.60,0.31%
ALGT,"ALLEGIANT TRAVEL CO",1552.00,198190.40,0.28%
AGX,"ARGAN INC",2530.00,169004.00,0.24%
VRS,"VERSO CORP",16215.00,116748.00,0.17%
ILG,"ILG INC",3002.00,85346.86,0.12%
AGFS,"AGROFRESH SOLUTIONS",-447.00,-2284.17,0.00%
FNSR,"FINISAR CORP",-252.00,-4777.92,-0.01%
