"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",101007.00,2999907.90,4.26%
NDAQ,"NASDAQ INC",30179.00,2292698.63,3.25%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",32830.00,2169406.40,3.08%
GLW,"CORNING INC",65455.00,2071650.75,2.94%
SPGI,"S&P Global Inc",12516.00,2003811.60,2.84%
COF,"CAPITAL ONE FINL CORP",21967.00,1914424.05,2.72%
RJF,"RAYMOND JAMES FINANCIAL INC",22657.00,1887328.10,2.68%
DAN,"DANA INC",58245.00,1805595.00,2.56%
SC,"SANTANDER CONSUMER USA HDG INC COM",109073.00,1761528.95,2.50%
FCE/A,"FOREST CITY RLTY TR INC",69920.00,1743804.80,2.47%
SEIC,"SEI INVESTMENTS CO",25383.00,1685431.20,2.39%
ALLY,"ALLY FINL INC",63272.00,1671646.24,2.37%
AMTD,"TD AMERITRADE HLDG CORP",33859.00,1662138.31,2.36%
CRR,"CARBO CERAMICS INC",178651.00,1634656.65,2.32%
AMP,"AMERIPRISE FINL INC",9449.00,1484248.92,2.11%
TGI,"TRIUMPH GROUP INC NEW",48467.00,1458856.70,2.07%
HBHC,"HANCOCK HLDG CO",30003.00,1449144.90,2.06%
PEN,"PENUMBRA INC",13652.00,1429364.40,2.03%
INVA,"INNOVIVA INC",102012.00,1323095.64,1.88%
FITB,"FIFTH THIRD BANCORP",45701.00,1301107.47,1.85%
BEN,"FRANKLIN RES INC",31507.00,1277608.85,1.81%
OCLR,"OCLARO INC",194713.00,1238374.68,1.76%
CIT,"CIT GROUP INC",25687.00,1208573.35,1.72%
PENN,"PENN NATL GAMING INC",43585.00,1188562.95,1.69%
NEWS,"NEWSTAR FINANCIAL INC",98643.00,1178783.85,1.67%
ORN,"ORION GROUP HOLDINGS INC",150259.00,1126942.50,1.60%
APO,"APOLLO GLOBAL MGMT LLC",36941.00,1083479.53,1.54%
TGNA,"TEGNA INC",86001.00,1080172.56,1.53%
GNW,"GENWORTH FINL INC",324523.00,1025492.68,1.46%
ITGR,"INTEGER HLDGS CORP",20195.00,973399.00,1.38%
TROW,"PRICE T ROWE GROUP INC",9932.00,948803.96,1.35%
PINC,"PREMIER INC",33132.00,940286.16,1.33%
SYX,"SYSTEMAX INC",32661.00,935084.43,1.33%
KRA,"KRATON CORPORATION",18561.00,878120.91,1.25%
WAIR,"WESCO AIRCRAFT HLDGS INC",102989.00,834210.90,1.18%
HIIQ,"HEALTH INS INNOVATIONS INC",33614.00,800013.20,1.14%
MD,"MEDNAX INC",14861.00,769205.36,1.09%
RDN,"RADIAN GROUP INC",36456.00,757555.68,1.08%
LMT,"LOCKHEED MARTIN CORP",2343.00,732538.95,1.04%
KSS,"KOHLS CORP",17020.00,719095.00,1.02%
URBN,"URBAN OUTFITTERS INC",26577.00,702961.65,1.00%
BGCP,"BGC PARTNERS INC",44500.00,693755.00,0.98%
BPOP,"POPULAR INC",19774.00,663615.44,0.94%
GME,"GAMESTOP CORP NEW",39071.00,632168.78,0.90%
ISBC,"INVESTORS BANCORP INC NEW",44535.00,619481.85,0.88%
HCA,"HCA HEALTHCARE INC",8104.00,615660.88,0.87%
DAL,"DELTA AIR LINES INC DEL",12037.00,607266.65,0.86%
GM,"GENERAL MTRS CO",13691.00,596927.60,0.85%
PDLI,"PDL BIOPHARMA INC",209740.00,597759.00,0.85%
SRI,"STONERIDGE INC",25875.00,561487.50,0.80%
UNH,"UNITEDHEALTH GROUP INC",2222.00,469130.86,0.67%
ACTG,"ACACIA RESH CORP",110692.00,464906.40,0.66%
GBX,"GREENBRIER COS INC",9927.00,461605.50,0.66%
BLK,"BLACKROCK INC",954.00,452215.08,0.64%
WLL,"WHITING PETE CORP NEW",20113.75,447933.21,0.64%
NWL,"NEWELL BRANDS INC",15814.00,445638.52,0.63%
HLS,"HEALTHSOUTH CORP",9085.00,438987.20,0.62%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",43546.00,434589.08,0.62%
PVAC,"PENN VA CORP NEW",11864.00,440154.40,0.62%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",28836.00,402838.92,0.57%
CSBK,"CLIFTON BANCORP INC",22890.00,389358.90,0.55%
PLAB,"PHOTRONICS INC",42086.00,372461.10,0.53%
MOS,"MOSAIC CO NEW",15041.00,338121.68,0.48%
PRTY,"PARTY CITY HOLDCO INC",28297.00,339564.00,0.48%
UHS,"UNIVERSAL HLTH SVCS INC",3424.00,336853.12,0.48%
CWH,"CAMPING WORLD HLDGS INC",7867.00,334347.50,0.47%
VSTO,"VISTA OUTDOOR INC",21017.00,298651.57,0.42%
LB,"L BRANDS INC",5494.00,269865.28,0.38%
AGNC,"AGNC INVT CORP",12079.00,238681.04,0.34%
AAN,"AARONS INC",5964.00,217686.00,0.31%
ALGT,"ALLEGIANT TRAVEL CO",1552.00,213477.60,0.30%
LPNT,"LIFEPOINT HEALTH INC",4856.00,214149.60,0.30%
MCHP,"MICROCHIP TECHNOLOGY INC",2360.00,214240.80,0.30%
AGX,"ARGAN INC",2530.00,146487.00,0.21%
ILG,"ILG INC",3002.00,87868.54,0.12%
