"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",99251.00,3019215.42,4.29%
FCE/A,"FOREST CITY RLTY TR INC",100914.00,2547069.36,3.62%
NDAQ,"NASDAQ INC",29655.00,2280172.95,3.24%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",32260.00,2196260.80,3.12%
GLW,"CORNING INC",64317.00,2040778.41,2.90%
SPGI,"S&P Global Inc",12300.00,1994937.00,2.83%
COF,"CAPITAL ONE FINL CORP",21585.00,1905307.95,2.71%
RJF,"RAYMOND JAMES FINANCIAL INC",22263.00,1886121.36,2.68%
SC,"SANTANDER CONSUMER USA HDG INC COM",107177.00,1829511.39,2.60%
DAN,"DANA INC",57233.00,1813713.77,2.58%
CRR,"CARBO CERAMICS INC",175545.00,1773004.50,2.52%
SEIC,"SEI INVESTMENTS CO",24943.00,1687892.81,2.40%
ALLY,"ALLY FINL INC",62172.00,1656883.80,2.35%
AMTD,"TD AMERITRADE HLDG CORP",33271.00,1629946.29,2.32%
AMP,"AMERIPRISE FINL INC",9285.00,1491635.25,2.12%
HBHC,"HANCOCK HLDG CO",29483.00,1450563.60,2.06%
TGI,"TRIUMPH GROUP INC NEW",47625.00,1433512.50,2.04%
PEN,"PENUMBRA INC",13416.00,1429474.80,2.03%
FITB,"FIFTH THIRD BANCORP",44907.00,1282992.99,1.82%
BEN,"FRANKLIN RES INC",30961.00,1261970.36,1.79%
OCLR,"OCLARO INC",191327.00,1241712.23,1.76%
CIT,"CIT GROUP INC",25241.00,1227469.83,1.74%
PENN,"PENN NATL GAMING INC",42827.00,1185451.36,1.68%
NEWS,"NEWSTAR FINANCIAL INC",96929.00,1151516.52,1.64%
ORN,"ORION GROUP HOLDINGS INC",147647.00,1132452.49,1.61%
TGNA,"TEGNA INC",84507.00,1101126.21,1.56%
GNW,"GENWORTH FINL INC",318881.00,1090573.02,1.55%
APO,"APOLLO GLOBAL MGMT LLC",36299.00,1086066.08,1.54%
SYX,"SYSTEMAX INC",32093.00,946743.50,1.35%
ITGR,"INTEGER HLDGS CORP",19845.00,941645.25,1.34%
TROW,"PRICE T ROWE GROUP INC",9760.00,939888.00,1.34%
PINC,"PREMIER INC",32556.00,915149.16,1.30%
KRA,"KRATON CORPORATION",18239.00,867629.23,1.23%
WAIR,"WESCO AIRCRAFT HLDGS INC",101199.00,814651.95,1.16%
HIIQ,"HEALTH INS INNOVATIONS INC",33030.00,794371.50,1.13%
RDN,"RADIAN GROUP INC",35822.00,752620.22,1.07%
KSS,"KOHLS CORP",16724.00,741207.68,1.05%
URBN,"URBAN OUTFITTERS INC",26115.00,738271.05,1.05%
LMT,"LOCKHEED MARTIN CORP",2303.00,724638.95,1.03%
MD,"MEDNAX INC",14603.00,708099.47,1.01%
BGCP,"BGC PARTNERS INC",43728.00,698336.16,0.99%
BPOP,"POPULAR INC",19432.00,667877.84,0.95%
INVA,"INNOVIVA INC",50009.00,658618.53,0.94%
GME,"GAMESTOP CORP NEW",38393.00,631180.92,0.90%
ISBC,"INVESTORS BANCORP INC NEW",43761.00,620968.59,0.88%
GM,"GENERAL MTRS CO",13453.00,603770.64,0.86%
DAL,"DELTA AIR LINES INC DEL",11829.00,588965.91,0.84%
HCA,"HCA HEALTHCARE INC",7964.00,594194.04,0.84%
PDLI,"PDL BIOPHARMA INC",206094.00,577063.20,0.82%
SRI,"STONERIDGE INC",25425.00,564435.00,0.80%
GBX,"GREENBRIER COS INC",9755.00,457997.25,0.65%
UNH,"UNITEDHEALTH GROUP INC",2184.00,459186.00,0.65%
ACTG,"ACACIA RESH CORP",108768.00,451387.20,0.64%
NWL,"NEWELL BRANDS INC",15540.00,447862.80,0.64%
BLK,"BLACKROCK INC",938.00,445334.26,0.63%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",42790.00,436885.90,0.62%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",28336.00,431840.64,0.61%
HLS,"HEALTHSOUTH CORP",8927.00,425014.47,0.60%
PVAC,"PENN VA CORP NEW",11658.00,424118.04,0.60%
CSBK,"CLIFTON BANCORP INC",22492.00,384613.20,0.55%
PLAB,"PHOTRONICS INC",41356.00,363932.80,0.52%
PRTY,"PARTY CITY HOLDCO INC",27805.00,344782.00,0.49%
CWH,"CAMPING WORLD HLDGS INC",7731.00,337226.22,0.48%
MOS,"MOSAIC CO NEW",14781.00,340406.43,0.48%
UHS,"UNIVERSAL HLTH SVCS INC",3366.00,326098.08,0.46%
WLL,"WHITING PETE CORP NEW",14716.75,320825.15,0.46%
VSTO,"VISTA OUTDOOR INC",20653.00,290587.71,0.41%
LB,"L BRANDS INC",5400.00,270324.00,0.38%
AGNC,"AGNC INVT CORP",11869.00,238210.83,0.34%
AAN,"AARONS INC",5862.00,215369.88,0.31%
ALGT,"ALLEGIANT TRAVEL CO",1526.00,209901.30,0.30%
MCHP,"MICROCHIP TECHNOLOGY INC",2320.00,212024.80,0.30%
LPNT,"LIFEPOINT HEALTH INC",4772.00,206150.40,0.29%
AGX,"ARGAN INC",2486.00,150527.30,0.21%
ILG,"ILG INC",2950.00,84399.50,0.12%
