"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",101007.00,2930213.07,4.20%
NDAQ,"NASDAQ INC",30179.00,2291491.47,3.29%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",32830.00,2184179.90,3.13%
GLW,"CORNING INC",65455.00,2050050.60,2.94%
SPGI,"S&P Global Inc",12516.00,1987791.12,2.85%
COF,"CAPITAL ONE FINL CORP",21967.00,1924968.21,2.76%
RJF,"RAYMOND JAMES FINANCIAL INC",22657.00,1875773.03,2.69%
SC,"SANTANDER CONSUMER USA HDG INC COM",109073.00,1775708.44,2.55%
DAN,"DANA INC",58245.00,1765988.40,2.53%
FCE/A,"FOREST CITY RLTY TR INC",69920.00,1740308.80,2.50%
SEIC,"SEI INVESTMENTS CO",25383.00,1664870.97,2.39%
ALLY,"ALLY FINL INC",63272.00,1659624.56,2.38%
AMTD,"TD AMERITRADE HLDG CORP",33859.00,1662476.90,2.38%
CRR,"CARBO CERAMICS INC",178651.00,1584634.37,2.27%
AMP,"AMERIPRISE FINL INC",9449.00,1487178.11,2.13%
MD,"MEDNAX INC",32164.00,1468286.60,2.11%
HBHC,"HANCOCK HLDG CO",30003.00,1452145.20,2.08%
PEN,"PENUMBRA INC",13652.00,1429364.40,2.05%
TGI,"TRIUMPH GROUP INC NEW",48467.00,1420083.10,2.04%
INVA,"INNOVIVA INC",102012.00,1325135.88,1.90%
FITB,"FIFTH THIRD BANCORP",45701.00,1300650.46,1.87%
BEN,"FRANKLIN RES INC",31507.00,1274458.15,1.83%
OCLR,"OCLARO INC",194713.00,1238374.68,1.78%
CIT,"CIT GROUP INC",25687.00,1208059.61,1.73%
NEWS,"NEWSTAR FINANCIAL INC",98643.00,1172865.27,1.68%
PENN,"PENN NATL GAMING INC",43585.00,1173308.20,1.68%
GNW,"GENWORTH FINL INC",324523.00,1113113.89,1.60%
ORN,"ORION GROUP HOLDINGS INC",150259.00,1117926.96,1.60%
APO,"APOLLO GLOBAL MGMT LLC",36941.00,1071658.41,1.54%
TGNA,"TEGNA INC",86001.00,1049212.20,1.51%
ITGR,"INTEGER HLDGS CORP",20195.00,940077.25,1.35%
TROW,"PRICE T ROWE GROUP INC",9932.00,937084.20,1.34%
PINC,"PREMIER INC",33132.00,926702.04,1.33%
SYX,"SYSTEMAX INC",32661.00,891318.69,1.28%
KRA,"KRATON CORPORATION",18561.00,880533.84,1.26%
WAIR,"WESCO AIRCRAFT HLDGS INC",102989.00,829061.45,1.19%
HIIQ,"HEALTH INS INNOVATIONS INC",33614.00,771441.30,1.11%
RDN,"RADIAN GROUP INC",36456.00,756097.44,1.08%
LMT,"LOCKHEED MARTIN CORP",2343.00,727829.52,1.04%
KSS,"KOHLS CORP",17020.00,719435.40,1.03%
URBN,"URBAN OUTFITTERS INC",26577.00,682497.36,0.98%
BPOP,"POPULAR INC",19774.00,659858.38,0.95%
GME,"GAMESTOP CORP NEW",39071.00,625136.00,0.90%
ISBC,"INVESTORS BANCORP INC NEW",44535.00,615919.05,0.88%
HCA,"HCA HEALTHCARE INC",8104.00,607232.72,0.87%
DAL,"DELTA AIR LINES INC DEL",12037.00,593785.21,0.85%
GM,"GENERAL MTRS CO",13691.00,586796.26,0.84%
PDLI,"PDL BIOPHARMA INC",209740.00,578882.40,0.83%
SRI,"STONERIDGE INC",25875.00,538976.25,0.77%
UNH,"UNITEDHEALTH GROUP INC",2222.00,466308.92,0.67%
ACTG,"ACACIA RESH CORP",110692.00,459371.80,0.66%
GBX,"GREENBRIER COS INC",9927.00,451678.50,0.65%
WLL,"WHITING PETE CORP NEW",20113.75,456380.99,0.65%
BLK,"BLACKROCK INC",954.00,448857.00,0.64%
NWL,"NEWELL BRANDS INC",15814.00,442950.14,0.64%
HLS,"HEALTHSOUTH CORP",9085.00,436443.40,0.63%
PVAC,"PENN VA CORP NEW",11864.00,440273.04,0.63%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",43546.00,414557.92,0.59%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",28836.00,399955.32,0.57%
CSBK,"CLIFTON BANCORP INC",22890.00,388901.10,0.56%
PLAB,"PHOTRONICS INC",42086.00,370356.80,0.53%
PRTY,"PARTY CITY HOLDCO INC",28297.00,339564.00,0.49%
MOS,"MOSAIC CO NEW",15041.00,336617.58,0.48%
CWH,"CAMPING WORLD HLDGS INC",7867.00,330414.00,0.47%
UHS,"UNIVERSAL HLTH SVCS INC",3424.00,327916.48,0.47%
VSTO,"VISTA OUTDOOR INC",21017.00,298231.23,0.43%
LB,"L BRANDS INC",5494.00,270634.44,0.39%
AGNC,"AGNC INVT CORP",12079.00,237110.77,0.34%
AAN,"AARONS INC",5964.00,213511.20,0.31%
LPNT,"LIFEPOINT HEALTH INC",4856.00,211478.80,0.30%
MCHP,"MICROCHIP TECHNOLOGY INC",2360.00,211432.40,0.30%
ALGT,"ALLEGIANT TRAVEL CO",1552.00,205640.00,0.29%
AGX,"ARGAN INC",2530.00,151420.50,0.22%
ILG,"ILG INC",3002.00,87988.62,0.13%
