"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",99251.00,2976537.49,4.27%
NDAQ,"NASDAQ INC",29655.00,2252297.25,3.23%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",32260.00,2148193.40,3.08%
GLW,"CORNING INC",64317.00,2034346.71,2.92%
SPGI,"S&P Global Inc",12300.00,1975257.00,2.83%
COF,"CAPITAL ONE FINL CORP",21585.00,1895810.55,2.72%
RJF,"RAYMOND JAMES FINANCIAL INC",22263.00,1865194.14,2.67%
DAN,"DANA INC",57233.00,1784524.94,2.56%
SC,"SANTANDER CONSUMER USA HDG INC COM",107177.00,1749128.64,2.51%
FCE/A,"FOREST CITY RLTY TR INC",68704.00,1728592.64,2.48%
CRR,"CARBO CERAMICS INC",175545.00,1718585.55,2.46%
SEIC,"SEI INVESTMENTS CO",24943.00,1673675.30,2.40%
ALLY,"ALLY FINL INC",62172.00,1658127.24,2.38%
AMTD,"TD AMERITRADE HLDG CORP",33271.00,1621628.54,2.32%
AMP,"AMERIPRISE FINL INC",9285.00,1469629.80,2.11%
HBHC,"HANCOCK HLDG CO",29483.00,1431399.65,2.05%
TGI,"TRIUMPH GROUP INC NEW",47625.00,1431131.25,2.05%
PEN,"PENUMBRA INC",13416.00,1402642.80,2.01%
INVA,"INNOVIVA INC",100238.00,1309108.28,1.88%
FITB,"FIFTH THIRD BANCORP",44907.00,1277604.15,1.83%
BEN,"FRANKLIN RES INC",30961.00,1253301.28,1.80%
OCLR,"OCLARO INC",191327.00,1258931.66,1.80%
CIT,"CIT GROUP INC",25241.00,1205762.57,1.73%
PENN,"PENN NATL GAMING INC",42827.00,1164037.86,1.67%
NEWS,"NEWSTAR FINANCIAL INC",96929.00,1153455.10,1.65%
ORN,"ORION GROUP HOLDINGS INC",147647.00,1138358.37,1.63%
TGNA,"TEGNA INC",84507.00,1099436.07,1.58%
GNW,"GENWORTH FINL INC",318881.00,1077817.78,1.54%
APO,"APOLLO GLOBAL MGMT LLC",36299.00,1062834.72,1.52%
ITGR,"INTEGER HLDGS CORP",19845.00,940653.00,1.35%
TROW,"PRICE T ROWE GROUP INC",9760.00,936764.80,1.34%
SYX,"SYSTEMAX INC",32093.00,923957.47,1.32%
PINC,"PREMIER INC",32556.00,906033.48,1.30%
KRA,"KRATON CORPORATION",18239.00,861975.14,1.24%
WAIR,"WESCO AIRCRAFT HLDGS INC",101199.00,819711.90,1.17%
HIIQ,"HEALTH INS INNOVATIONS INC",33030.00,789417.00,1.13%
RDN,"RADIAN GROUP INC",35822.00,747605.14,1.07%
KSS,"KOHLS CORP",16724.00,731173.28,1.05%
MD,"MEDNAX INC",14603.00,728835.73,1.04%
URBN,"URBAN OUTFITTERS INC",26115.00,728608.50,1.04%
LMT,"LOCKHEED MARTIN CORP",2303.00,713239.10,1.02%
BGCP,"BGC PARTNERS INC",43728.00,685655.04,0.98%
BPOP,"POPULAR INC",19432.00,665157.36,0.95%
GME,"GAMESTOP CORP NEW",38393.00,626189.83,0.90%
ISBC,"INVESTORS BANCORP INC NEW",43761.00,611341.17,0.88%
HCA,"HCA HEALTHCARE INC",7964.00,599211.36,0.86%
GM,"GENERAL MTRS CO",13453.00,590317.64,0.85%
DAL,"DELTA AIR LINES INC DEL",11829.00,589320.78,0.84%
PDLI,"PDL BIOPHARMA INC",206094.00,585306.96,0.84%
SRI,"STONERIDGE INC",25425.00,549942.75,0.79%
GBX,"GREENBRIER COS INC",9755.00,458485.00,0.66%
UNH,"UNITEDHEALTH GROUP INC",2184.00,458421.60,0.66%
ACTG,"ACACIA RESH CORP",108768.00,456825.60,0.65%
WLL,"WHITING PETE CORP NEW",19765.75,455007.57,0.65%
BLK,"BLACKROCK INC",938.00,444602.62,0.64%
NWL,"NEWELL BRANDS INC",15540.00,443822.40,0.64%
PVAC,"PENN VA CORP NEW",11658.00,434143.92,0.62%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",28336.00,423056.48,0.61%
HLS,"HEALTHSOUTH CORP",8927.00,427424.76,0.61%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",42790.00,427472.10,0.61%
CSBK,"CLIFTON BANCORP INC",22492.00,381689.24,0.55%
PLAB,"PHOTRONICS INC",41356.00,361865.00,0.52%
MOS,"MOSAIC CO NEW",14781.00,339076.14,0.49%
PRTY,"PARTY CITY HOLDCO INC",27805.00,344782.00,0.49%
CWH,"CAMPING WORLD HLDGS INC",7731.00,328567.50,0.47%
UHS,"UNIVERSAL HLTH SVCS INC",3366.00,327242.52,0.47%
VSTO,"VISTA OUTDOOR INC",20653.00,305870.93,0.44%
LB,"L BRANDS INC",5400.00,272592.00,0.39%
AGNC,"AGNC INVT CORP",11869.00,235243.58,0.34%
AAN,"AARONS INC",5862.00,213728.52,0.31%
ALGT,"ALLEGIANT TRAVEL CO",1526.00,210053.90,0.30%
LPNT,"LIFEPOINT HEALTH INC",4772.00,208536.40,0.30%
MCHP,"MICROCHIP TECHNOLOGY INC",2320.00,211816.00,0.30%
AGX,"ARGAN INC",2486.00,147419.80,0.21%
ILG,"ILG INC",2950.00,85904.00,0.12%
